Error, 2021-09-27T16:27:44.1917661+05:30, 22, GetDBSchema, Query: entFileHdr.CountByFileId not found.
Error, 2021-09-27T16:27:44.4534073+05:30, 20, GetDBSchema, Query: entActLogAppActor.CountByActorName not found.
Error, 2021-09-27T16:27:44.4568541+05:30, 22, GetDBSchema, Query: entSystemPaths.PathCodeExistsNew not found.
Error, 2021-09-27T16:27:44.4579412+05:30, 22, GetDBSchema, Query: entSystemPaths.PathCodeExistsUpdate not found.
Error, 2021-09-27T16:27:45.2793228+05:30, 20, GetDBSchema, Query: entRoles.RoleExists not found.
Error, 2021-09-27T16:27:45.2840908+05:30, 11, GetDBSchema, Query: entCode.CodeIDExists not found.
Error, 2021-09-27T16:27:45.2845928+05:30, 10, GetDBSchema, Query: entCodeValue.CodeValuesExistsNew not found.
Error, 2021-09-27T16:27:45.2896665+05:30, 11, GetDBSchema, Query: entCodeValue.Count not found.
Error, 2021-09-27T16:27:45.2907288+05:30, 10, GetDBSchema, Query: entCodeValue.CodeValueExistsUpdate not found.
Error, 2021-09-27T16:27:45.2867813+05:30, 22, GetDBSchema, Query: entActLogAppActor.CountByActorName not found.
Error, 2021-09-27T16:27:45.4441433+05:30, 46, GetDBSchema, Query: entCommTmplAutoEnclrXr.GetAutoEnclosureTemplate not found.
Error, 2021-09-27T16:27:45.4445519+05:30, 47, GetDBSchema, Query: entUserRoles.CountRoleByUser not found.
Error, 2021-09-27T16:27:45.4510255+05:30, 20, GetDBSchema, Query: entSecurity.FindSecurity not found.
Error, 2021-09-27T16:27:45.4526132+05:30, 42, GetDBSchema, Query: entUserRoles.GetUserRoles not found.
Error, 2021-09-27T16:27:45.4470297+05:30, 48, GetDBSchema, Query: entSecurity.FindSecurity not found.
Error, 2021-09-27T16:27:45.4592412+05:30, 42, GetDBSchema, Query: entUserRoles.GetUserRoles not found.
Error, 2021-09-27T16:27:45.4468765+05:30, 50, GetDBSchema, Query: entSecurity.FindSecurity not found.
Error, 2021-09-27T16:27:45.4618740+05:30, 42, GetDBSchema, Query: entUserRoles.GetUserRoles not found.
Error, 2021-09-27T16:27:46.1877921+05:30, 11, GetDBSchema, Query: entUserRoles.CountRoleByUser not found.
Error, 2021-09-27T16:27:46.2062049+05:30, 20, GetDBSchema, Query: entSecurity.FindSecurity not found.
Error, 2021-09-27T16:27:46.2206871+05:30, 11, GetDBSchema, Query: entUserRoles.LoadUserRoleIDByUser not found.
Error, 2021-09-27T16:27:46.2004845+05:30, 22, GetDBSchema, Query: entResources.ResourceIDCount not found.
Error, 2021-09-27T16:27:46.2137612+05:30, 23, GetDBSchema, Query: entRoles.RoleExists not found.
Error, 2021-09-27T16:27:46.1959841+05:30, 24, GetDBSchema, Query: entMessages.MessageIdExists not found.
Error, 2021-09-27T16:27:46.3565710+05:30, 23, GetDBSchema, Query: entRoles.CountByDescNew not found.
Error, 2021-09-27T16:27:46.2050180+05:30, 40, GetDBSchema, Query: entCodeValue.Count not found.
Error, 2021-09-27T16:27:46.3590716+05:30, 23, GetDBSchema, Query: entRoles.CountByDescUpdate not found.
Error, 2021-09-27T16:27:46.3677378+05:30, 40, GetDBSchema, Query: entCodeValue.CodeValuesExistsNew not found.
Error, 2021-09-27T16:27:46.2056248+05:30, 41, GetDBSchema, Query: entUser.UserIDExists not found.
